title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Cowboy Bebop,TV,26,Finished Airing,Spring 1998,Spring,1998.0,"Action, Award Winning, Sci-Fi","Adult Cast, Space",Sunrise,"Bandai Visual, Victor Entertainment, Audio Planning U",,R - 17+ (violence & profanity),8.75,48.0,42.0,2008019.0,87916.0
Cowboy Bebop: Tengoku no Tobira,Movie,1.0,Finished Airing,,,,"Action, Sci-Fi","Adult Cast, Space",Bones,"Sunrise, Bandai Visual",,R - 17+ (violence & profanity),8.38,232.0,649.0,403604.0,1748.0
Trigun,TV,26,Finished Airing,Spring 1998,Spring,1998.0,"Action, Adventure, Sci-Fi",Adult Cast,Madhouse,"Victor Entertainment, Arts Pro",Shounen,PG-13 - Teens 13 or older,8.22,385.0,265.0,815140.0,17193.0
Witch Hunter Robin,TV,26.0,Finished Airing,Summer 2002,Summer,2002.0,"Action, Drama, Mystery, Supernatural",Detective,Sunrise,"Bandai Visual, Dentsu, Victor Entertainment",,PG-13 - Teens 13 or older,7.23,3344.0,1979.0,125868.0,686.0
Bouken Ou Beet,TV,52,Finished Airing,Fall 2004,Fall,2004.0,"Action, Adventure, Fantasy",,Toei Animation,"TV Tokyo, Dentsu",Shounen,PG - Children,6.92,4887.0,5765.0,16456.0,18.0
Eyeshield 21,TV,145,Finished Airing,Spring 2005,Spring,2005.0,Sports,Team Sports,Gallop,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Shounen,PG-13 - Teens 13 or older,7.91,845.0,1390.0,193542.0,2100.0
Hachimitsu to Clover,TV,24,Finished Airing,Spring 2005,Spring,2005.0,"Comedy, Drama, Romance","Adult Cast, Love Polygon, Visual Arts",J.C.Staff,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",Josei,PG-13 - Teens 13 or older,7.98,727.0,959.0,281693.0,4191.0
Hungry Heart: Wild Striker,TV,52.0,Finished Airing,Fall 2002,Fall,2002.0,Sports,Team Sports,Nippon Animation,add some,Shounen,PG-13 - Teens 13 or older,7.54,1905.0,4767.0,26482.0,246.0
Initial D Fourth Stage,TV,24,Finished Airing,Spring 2004,Spring,2004.0,"Action, Drama",Racing,A.C.G.T.,OB Planning,Seinen,PG-13 - Teens 13 or older,8.17,453.0,1291.0,208845.0,1397.0
Monster,TV,74,Finished Airing,Spring 2004,Spring,2004.0,"Drama, Mystery, Suspense","Adult Cast, Psychological",Madhouse,"VAP, Nippon Television Network, Arts Pro",Seinen,R+ - Mild Nudity,8.89,25.0,119.0,1274315.0,59652.0
