title,image,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Kusuriya no Hitorigoto 3rd Season Part 2,https://cdn.myanimelist.net/images/anime/1667/152812.jpg,TV,Unknown,Not yet aired,Spring 2027,Spring,2027.0,"Drama, Mystery","Historical, Medical",add some,add some,,,,,4835.0,25681.0,40.0
Nigashita Sakana wa Ookikatta ga Tsuriageta Sakana ga Ookisugita Ken,https://cdn.myanimelist.net/images/anime/1308/153321.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Fantasy, Romance",,TROYCA,TMS Entertainment,,,,,17303.0,557.0,1.0
MF Ghost 3rd Season,https://cdn.myanimelist.net/images/anime/1549/152073.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Drama,Racing,Felix Film,Techno Sound,Seinen,PG-13 - Teens 13 or older,,,6129.0,13989.0,38.0
29-sai Dokushin Chuuken Boukensha no Nichijou,https://cdn.myanimelist.net/images/anime/1688/151882.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Adventure, Fantasy",,HORNETS,"Pony Canyon, Kadokawa, Bit grooove promotion",Shounen,,,,10769.0,3176.0,7.0
Uruwashi no Yoi no Tsuki,https://cdn.myanimelist.net/images/anime/1653/149714.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Romance,School,East Fish Studio,add some,Shoujo,,,,6484.0,12183.0,46.0
Android wa Keiken Ninzuu ni Hairimasu ka??,https://cdn.myanimelist.net/images/anime/1084/149783.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Girls Love, Sci-Fi, Erotica",,Nyan Pollution,"WWWave, Deregula",,,,,10510.0,3422.0,9.0
Niwatori Fighter,https://cdn.myanimelist.net/images/anime/1666/150983.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Action, Comedy",,SANZIGEN,"VIZ Media, Sola Entertainment",,,,,8751.0,5883.0,19.0
Kirei ni Shitemoraemasu ka.,https://cdn.myanimelist.net/images/anime/1380/150401.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Slice of Life,,Okuruto Noboru,Happinet,Seinen,,,,9705.0,4383.0,9.0
Yoroi Shin Den Samurai Troopers,https://cdn.myanimelist.net/images/anime/1940/151951.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Adventure, Sci-Fi",Samurai,Sunrise,add some,,,,,13923.0,1272.0,4.0
"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru? Season 2",https://cdn.myanimelist.net/images/anime/1062/152474.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,Fantasy,"Isekai, Reincarnation",Studio A-CAT,Slow Curve,,PG-13 - Teens 13 or older,,,5353.0,20061.0,25.0
Aishiteru Game wo Owarasetai,https://cdn.myanimelist.net/images/anime/1421/153310.jpg,TV,Unknown,Not yet aired,Spring 2026,Spring,2026.0,"Comedy, Romance",School,Felix Film,Nikkatsu,,,,,9526.0,4615.0,27.0
Trigun Stargaze,https://cdn.myanimelist.net/images/anime/1009/152508.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Adventure, Sci-Fi",Adult Cast,Orange,"TOHO animation, Shounen Gahousha",Shounen,PG-13 - Teens 13 or older,,,4362.0,32282.0,80.0
Maou no Musume wa Yasashisugiru!!,https://cdn.myanimelist.net/images/anime/1779/150643.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Fantasy",Childcare,EMT Squared,"DMM.com, DMM pictures",,,,,12271.0,2070.0,3.0
Okiraku Ryoushu no Tanoshii Ryouchi Bouei: Seisankei Majutsu de Na mo Naki Mura wo Saikyou no Jousai Toshi ni,https://cdn.myanimelist.net/images/anime/1922/151761.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Fantasy,"Isekai, Reincarnation",NAZ,flying DOG,,,,,9906.0,4116.0,12.0
"Himesama ""Goumon"" no Jikan desu 2nd Season",https://cdn.myanimelist.net/images/anime/1272/153326.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Comedy, Fantasy, Gourmet",,PINE JAM,Magic Capsule,Shounen,PG-13 - Teens 13 or older,,,6334.0,12863.0,18.0
Mato Seihei no Slave 2,https://cdn.myanimelist.net/images/anime/1668/148737.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Action, Fantasy, Ecchi",Harem,"Passione, Hayabusa Film","Pony Canyon, DAX Production",Shounen,R+ - Mild Nudity,,,3766.0,43608.0,332.0
Vigilante: Boku no Hero Academia Illegals 2nd Season,https://cdn.myanimelist.net/images/anime/1183/150817.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,Action,Super Power,Bones Film,"Bones, TOHO animation",Shounen,PG-13 - Teens 13 or older,,,4305.0,33376.0,28.0
Tensei shitara Ken deshita 2,https://cdn.myanimelist.net/images/anime/1955/150906.jpg,TV,Unknown,Not yet aired,Fall 2026,Fall,2026.0,"Action, Adventure, Fantasy","Isekai, Reincarnation",C2C,"Gentosha Comics, NBCUniversal Entertainment Japan, Micro Magazine Publishing",,PG-13 - Teens 13 or older,,,2733.0,77051.0,419.0
"Saioshi no Gikei wo Mederu Tame, Nagaiki shimasu!",https://cdn.myanimelist.net/images/anime/1115/152470.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Boys Love, Fantasy","Isekai, Reincarnation","Imagica Infos, Imageworks Studio",CyberAgent,,,,,14435.0,1113.0,1.0
"Yuusha Party ni Kawaii Ko ga Ita node, Kokuhaku shitemita.",https://cdn.myanimelist.net/images/anime/1573/152828.jpg,TV,Unknown,Not yet aired,Winter 2026,Winter,2026.0,"Adventure, Comedy, Fantasy, Romance","Isekai, Reincarnation",Gekkou,add some,,,,,8502.0,6269.0,31.0
Kusuriya no Hitorigoto 3rd Season,https://cdn.myanimelist.net/images/anime/1862/152811.jpg,TV,Unknown,Not yet aired,Fall 2026,Fall,2026.0,"Drama, Mystery","Historical, Medical",add some,add some,,PG-13 - Teens 13 or older,,,3299.0,54759.0,119.0
